id,filename,image,title,date,year_start,year_end,year,description,medium,measurements,width_in,height_in,aspect_ratio,orientation,repository,subjects_joined,local_identifier,source,people,places,railroads,rights,rights_notes,source_url
community.32582005,community.32582005.jpg,/images/community.32582005.jpg,"Don W. Thomas, President of Chesapeake Western Railway, addresses crowd during Golden Spike Ceremony",1953 May 29,1953,1953,1953,"D.W. Thomas, Pres., Chesapeake Western Ry., speaking. Photo by Bob Riley - handwritten; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University","photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Thomas, Don W.@Penn Laird (Va.)",SC0327-011,"Box 2: Folder 11, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University","Thomas, Don W.",Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32582005
community.32582009,community.32582009.jpg,/images/community.32582009.jpg,Crowd of attendees and Harrisonburg High School Band prior to the start of the Golden Spike Ceremony,1953 May 29,1953,1953,1953,"Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Harrisonburg High School@Penn Laird (Va.),SC0327-012,"Box 2: Folder 11, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32582009
community.32582015,community.32582015.jpg,/images/community.32582015.jpg,"Harrisonburg High School Band plays as invited guests board the Stonewall Jackson's first fun, after the Golden Spike Ceremony",1953 May 29,1953,1953,1953,"Harrisonburg High School Band plays as invited guests board first train, after ceremony. 5/29/53 Photo by N.&W. Ry. - handwritten; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Harrisonburg High School@Penn Laird (Va.),SC0327-013,"Box 2: Folder 11, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32582015
community.32582018,community.32582018.jpg,/images/community.32582018.jpg,"F. S. Baird, Vice President of Norfolk & Western Railway, address crowd during Golden Spike Ceremony",1953 May 29,1953,1953,1953,"F. S. Baird, Vice-Pres., Norfolk & Western Ry. Photo by N.&W. Ry. - handwritten; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University","photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Baird, F. S.@Penn Laird (Va.)",SC0327-014,"Box 2: Folder 11, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University","Baird, F. S.",Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32582018
community.32582023,community.32582023.jpg,/images/community.32582023.jpg,"Sherman Pippin, retired ET&WNC engineer, addresses crowd during Golden Spike Ceremony",1953 May 29,1953,1953,1953,"Sherman Pippin, retired E.T.&W.N.C. R.R. engineer. He was engineer on last run of their narrow-gauge division in October, 1950. Taken at S.C.R.R.'s Golden Spike Ceremony May 29, 1953, Photo by N.&W. Ry. - handwritten; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University","photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Pippin, Sherman@Penn Laird (Va.)",SC0327-015,"Box 2: Folder 11, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University","Pippin, Sherman",Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32582023
community.32582030,community.32582030.jpg,/images/community.32582030.jpg,Group of invited guests at Golden Spike Ceremony,1953 May 29,1953,1953,1953,,image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Penn Laird (Va.),SC0327-016,"Box 2: Folder 11, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32582030
community.32582035,community.32582035.jpg,/images/community.32582035.jpg,Tweetsie locomotive and Stonewall Jackson train on the Shenandoah Central Railroad on the day of the Golden Spike Ceremony,1953 May 29,1953,1953,1953,,image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-017,"Box 2: Folder 11, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32582035
community.32582040,community.32582040.jpg,/images/community.32582040.jpg,C. Grattan Price Jr. inside Tweetsie's cab,1953-1954,1953,1954,,"Photo by H. Reid 8549 Wayland St. Norfolk, VA. - stamped",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University","photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Price, Charles Grattan, 1919-1996@Penn Laird (Va.)",SC0327-018,"Box 2: Folder 12, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University","Price, Charles Grattan, 1919-1996",Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32582040
community.32586879,community.32586879.jpg,/images/community.32586879.jpg,Tweetsie locomotive and Stonewall Jackson train on the Shenandoah Central Railroad,1953-1954,1953,1954,,"Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-030,"Box 2: Folder 13, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32586879
community.32587433,community.32587433.jpg,/images/community.32587433.jpg,Tweetsie locomotive and Stonewall Jackson train on the Shenandoah Central Railroad,1953-1954,1953,1954,,"Photo by Gorman WSVA-TV - printed on front; Property of C. G. Price, Jr. 531 Ott Street Harrisonburg, Va. 22801 - handwritten and address labels; May 71 Railroad Pages 30, 31 #2134",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-032,"Box 2: Folder 13, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32587433
community.32587435,community.32587435.jpg,/images/community.32587435.jpg,Tweetsie locomotive and Stonewall Jackson train on the Shenandoah Central Railroad,1953-1954,1953,1954,,"Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-033,"Box 2: Folder 13, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32587435
community.32587438,community.32587438.jpg,/images/community.32587438.jpg,Tweetsie locomotive on the Shenandoah Central Railroad,1953-1954,1953,1954,,"Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-034,"Box 2: Folder 13, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32587438
community.32587440,community.32587440.jpg,/images/community.32587440.jpg,Tweetsie locomotive and Stonewall Jackson train on the Shenandoah Central Railroad,1953-1954,1953,1954,,"Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-035,"Box 2: Folder 13, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32587440
